Unnamed: 0,label,text
32019,1,thi n't zombi saw-lik stori world differ cultur len infrastructure/clim respond viral epidem with world becom connect technolog ea transport ea transport facilit spread diseas global unpreced level but littl consid use grow technolog solv global diseas outbreak macro sen how pay attent happen hong kong make chang sfo right away respond it make sen current govern offici dub viral/outbreak polic train scenario 'zombi refer i ca n't read night i three time time i zombi nightmar citi planner architect engin design problem solver fun read book it 's narr chess game kind start solut enjoy path top five read year
312,0,for singl cup coffe feel coffe tast fresher coffe tast lighter
22093,0,we love pen use the design good easi use we use pair scissor cut pen plastic strip roll pen readi move we keep see
748,0,veri pricey nice i love look feel pillow
11857,1,i 'm disappoint drive even larg file i ca n't write faster 80mb/sec usb 3.0 port but i n't think 's drive 's fault 's capabl much faster speed peopl get speed the issu fast usb 3.0 drive speed much affect chipset use chipset drive i use 2yr-old asu motherboard use asmedia usb 3.9 chipset it 's highli regard chipset came nec/renasi sp driver seem optim latter the odd thing i bought gb sandisk extrem pro version new last year 's blazingli fast port comput i would expect least fast one thing mention these expens drive gb extrem still expens the competit 3.0 drive drop sandisk extrem i think fair much faster i coupl brand usb 3.0 flash drive laughabl slow compar sandisk howev stun extrem seri given price incred cheapli made they made crummiest plastic imagin i 'm sure i could squeez shatter pretti easili with new extrem pro seri 's still far physic delic drive brand esp given price n't feel quit delic extrem seri
19265,1,thi could potenti outstand tool unfortun short-cut oversight short-cut detach leg design doubt ship smaller box possibl save manufactur expens my saw rock back forth across two opposit corner leg straight an accur cast one-piec base would solv short-cut cheesi plastic clamp awkward use hole clamp tension clamp rod pas align easili angle-clamp mode second part tension assembl allow use angl attach main tension rather align loo requir someth juggl act assembl three item angle-us oversight clamp usabl normal configur back v-slot bed thinner narrow stock laid flat miter cut clamp foot wo n't rotat far enough short-cut mysteri manufactur take time give tutori geometri requir lay angl frames/box regular polygon even give tip saw usag provid crappi wordless diagram assembl tool total intuit take littl keen observ pull annoy i want note vendor i bought sell amazon appropri mention the best thing good compani i would hesit give busi but i recommend nobex saw
21660,1,work need hold half-grown kitten well wherea i prefer stabil hard-sid carrier i space thing appreci store rel flat natur kitti fan
10544,0,these work well easi use the includ len hood must anyon look len hood pro -highli adjust -veri comfort wear -can worn around neck long period time con -can worn around neck long period
22529,1,my pup dri nose i purchas amaz well moistur nose by day two nose look normal by far best product i use i tri thing alreadi cabinet noth work way and ye love tast i make sure i fed immedi appli ointment prevent lick
24053,0,good read money i love charact the plot well thought
22470,0,i yorkie/maltes mix tuxedo i yorkie/tuxedo mix westi i yorkie/tuxedo mix westi i yorkie/tuxedo mix westi i yorkie/tuxedo mix westi
12238,0,thi best scienc fiction movi i 've ever seen i love if
20020,1,my dog use year when rubber goe i buy new one
39869,1,warn these run small order 1/2 full size normal i wear 9m i wear 9.5m ok that way ... love sneak i pair differ color they look great extrem comfort durabl i wear casual jean sport coat i 've even worn cotton suit they go-to shoe i 've even lace pair slip on great price veri versatil awesom color option
39272,1,i look jean shirt replac old one thi shirt soft fit short figur 't usual i purchas larg decid order xl sinc fabric percent cotton happi i wash well did put dryer
6436,0,i bought backpack wife love she also love fact small i tall weigh pound she wear size size she happi
10022,1,poor instal appli well lot bubbl throughout screen i order anoth product differ compani take one throw away just skip buy differ one i recommend coolreal
17222,1,nice led bulb pretti good price they bright we 've use probabl averag hour everyday coupl month hope last mani year
7582,0,these tire ride great 9mm rim i also love tire lever easi use the front lever also easi use the rear lever easi use the front wheel easi use hold rim well i use front wheel keep rim leak strong i probabl buy new tire replac the front wheel good valu money i would highli recommend the front wheel come small case nice case problem the front wheel also stiff make difficult grip rim the front wheel come small case nice case problem the rear wheel made
30147,0,great hard put i keep read veri good i read book middl night great
29838,0,neil gaiman the charact well develop world well built i read first half book
4807,0,it 's perfect cover beach time perfectli keep water cold
30002,1,great write i love virgil flower seri there 's suspens also lot `` cuff '' remark make laugh loud wish seri
4397,1,product work advertis although i found much cheaper local order
8917,0,great littl speaker maintain connect qualiti 's specif nice littl speaker
28896,1,thi book i read everi year it 's classic one come close well
38279,1,great sock give enough toe room end day toe n't fee squash four star difficult get
12967,1,i 'm pilot view spit shoot me-109 's well n't get better if like fli
28785,1,bought summer geographi class great book realli goe detail wa much help professor
39547,0,i bought watch black qualiti right the band bit short clasp bit stiff the watch great look watch 's littl smaller i like i wish bit shape i 'm big fan watch i ca n't wait wear
4970,0,sorri english first languag i pretti sure
1887,1,awesom awesom awesom we use entri way hang key 's sturdi ton charact alway put smile peopl 's face see
789,1,bought extra contain pack fit rene tote easier meal prep
27282,1,`` disclaim i receiv free copi book part promot tour return honest review '' i read one free read bec 's blog holiday great one learn rip esm long final get hea happi sigh though get lot action suspens someth target blade 's famili allianc rip investig alon first blade honoria quiet time togeth soon problem grown big need help when esm get abduct bet love steampunk world ca n't wait next one seri
14061,1,thi anim like old kung fu movi way back put anim actual teach lesson viewer funni anim pack lot action and martial art move perfom realist the thing 's sad 3rd season but cool watch
11947,1,okay logitech well known make good webcam thi cam arriv ontim there howev problem mic n't realli work well someth i return got anoth one seem work pretti well now video qualiti pretti good even though might best compar newest one that long blue expens webcam came year ago pretti good want cam cheaper especi rebat still offer one unfortun mic seem best could consid previou webcam old fuzzi look mic work lot better i want one realli good mic well good video qualiti the video qualiti great featur come kinda lack im talk littl anim you n't get lot first instal hunt good one websit order get cool look one the featur low light good bad depend use also `` right sound '' seem make thing wors i think it hard say sinc i n't use webcam often howev i think one better webcam pick day just make sure check tri bit right away get inca get faulti one like i oh logitech forum question usual answer right away within day two i bought quit logitech product even though sometim i come across one two i need return long run good product
23012,1,my dog love toy great time much i take time i phone i american staffordshir terrier seem get kick toy make nois thi toy actual last week if heavi chewer toy go last long i even basket full toy goe toy everytim you cant go wrong squeaker get one goe next great toy kept pitti busi
10354,0,thi flat non-twisted-pair it 's easi case put 's nice one.i bought friend happi purchas the thing i wish littl bit better
8348,1,work half time support appl product either
12825,1,british drama i n't see point resolut more like documentari old ladi
31517,1,have thought left behind seri littl overdon drug long archtyp charact i bit hesit read babylon rise howev i found quit surpris enjoy book read the character seem real plot get bog thi book hope seri book provid good adventur mix bibl teach no n't go deep work fiction still enjoy read to like indiana jone christian twist
40036,1,ok i got fit realli well in opinion im woman size 1/2 i got men these rewind seller say men size when i first got skate i hard time turn corner loosen axl bit i still troubl probabl i need practis the wheel harder i expect rough surfac like road though im sure i read could use outdoor i might need buy softer wheel for afford skate good look like last good i afford moxi skate so basic size good fit good the issu right limit wheel
15951,0,nice set woodwork all piec fine ca n't beat
17162,0,thi littl strap great i love look feel way made it 's also great pocket clip
3256,1,i mine two year i problem i believ compani state 3-4 second respons time ..... mine seem work much faster i mostli use mine photographi chemic color photographi rather critic ... much black white ... consist better i mine darkroom bit two year work fine i check kodak thermomet rather expens industrial/scientif thermomet thing pretti close for bux good deal
21583,1,great leash length great firm hold dog just cautiou n't recommend use retract leash choke chain har stop dog pull constant tension leash
32876,1,they love 's part `` set ''
36458,0,so i start first i need make sure i get correct size i fit gun right posit thi larg gun 's realli problem if go use full size gun 's good idea get larger size if go use kid 's good idea get larger size secondli kid go littl bit older need care break if kid go littl bit younger may want take gun apart thi difficult handl 's good idea put gun back right place thirdli i need get correct size gun i 've issu paint bit gun gun 's head come i 'll updat post i find better solut all i happi purchas it 's great toy it 's nice qualiti 's perfect littl hand veri fun will buy again.thi good toy year old she love play
24494,1,i read quit book rhi bowen i read molli murphi book i like everi one
3069,0,i bought vacuum vacuum hous two dog it 's great experi i love i also bought tumbler vacuum cat 's hair it 's great addit household i recommend it.i bought put closet keep thing place it littl heavier i expect
1527,1,these help organ pantri sink we use i get organ variou area veri plea product
29944,1,i read previou book love charact plot i know i wo n't disappoint veri good author it arriv today mother day perfect defin recommend
26059,1,veri nice detail book maldiv the author done nice research got lot good inform collect place go thing it seem must go place lifetim honeymoon even nice littl vacat great book ..
18498,1,beauti look faucet great featur work perfectli instal snap realli easi well design ea instal the pullout sprayer work great i realli like switch stream spray remain set whether water some faucet requir water flow chang stream spray the magnet spray head work realli well hold spray head place sag overal i find anyth i n't like faucet soap dispens
6136,0,nice tight fit it finish job materi good also 's use finish rang bag i happi purchas thi great gift
20368,1,my cat love catnip flavor price perfect i abl get pack great
1419,0,i love product it perfect price nice piec equip it easi use
38269,1,realli classi smart shoe feminin line decent heel comfort wear may order differ color perfect dress dress pant
3383,1,i love i huge comfort travel product perfect it larg enough soft i love front zipper pouch protect valuabl snooz ... case snack it fold back i person think good size properli put away i use right couch i type ... i feel go use lot plane got discount tri glad i new best friend
3919,1,i previous own dustbust electr stick vac figur would best world pretti much basic 's dustbust attach motor floorbrush 's great avoid bend dustbust although remov dustbust stick use countertop etc the batteri life unit great i model one without lithium ion batteri not one lithium ion batteri suction power batteri last much longer i believ worth pay get better product i would purchas carpets/rug thi perform well area rug kitchen rug n't suction power 'll still need vacuum item the thing i n't love hair could wrap around tini piec metal motor brush wedg two piec plastic requir fine point tweezer remov offend hair allow unit oper they put sort cover tini piec metal prevent happen i pull tweezer lot i n't want talk unit i love for pick light dirt debri hair fabul job without bend even pick littl kibbl debri dog great 're look maximum suction 'll need vacuum
28360,0,raina took loan friend paid back she also took job cafe meet handsom man never met she attract idea vampir she idea attract she also attract fact strong independ man i like first book seri enjoy lot i 'm sure i continu seri i realli enjoy read book i wish book longer i realli like charact stori i would recommend book anyon like strong independ woman.thi cute stori peopl go lot up down i like book well written well written plot i would recommend anyon like stori predict the charact good stori well written i would definit recommend anyon like good predict story.i wait book like i realli enjoy book it fun read charact live i would recommend book anyon like good romance.thi book pretti good it lot differ type sex scene the charact good end bit predict thi short stori i n't care end felt
24579,1,it interest stori .. littl work detail turn better stori ye i follow seri
