,label,text
0,1,we stay one night getaway famili thursday tripl aaa rate steal 7th floor room complet 44in plasma tv bose stereo voss evian water gorgeou bathroom tub fine u concierg help you beat locat ... onli flaw breakfast pricey servic slow 2hour four kid four adult friday morn even though two tabl restaur food good worth wait i would return heartbeat a gem chicago ...
1,1,tripl a rate upgrad view room less also includ breakfast voucher had great view river lake wrigley bldg tribun bldg most major restaur shop sightse attract within walk distanc larg room comfort bed
2,1,thi come littl late i 'm final catch review past sever month a dear friend i stay hyatt regenc late octob one night visit friend husband town thi hotel perfect imo easi check check love clean comfort room great view citi i know area pretti well 's conveni mani downtown chicago attract we dinner went clube friend around divis st .. we problem get cab back forth hyatt 's even public transport right near n't bother sinc need cab hotel park usual chicago expens abl get car quickli howev left sunday morn exactli high traffic time although bear homegam day bit busier usual i would think no problem best part got rate hotwir downright steal area chicago qualiti hotel
3,1,the omni chicago realli deliv front spacious room help staff prize locat michigan avenu while address chicago requir high level qualiti omni deliv check whole group peopl minut staff plenti recommend dine event room largest 'll find price rang chicago even 'standard room separ live area work desk the fit center free weight weight machin two row cardio equip i share room other feel cramp way all great properti
4,1,i ask high floor away elev i got the room pleasantli decor function clean i n't need whole lot servic i pleasant prompt i use fit center well equip everyth work order it great locat one end michigan avenu shop district
5,1,i stay omni one night follow busi meet anoth downtown chicago hotel i complet impress servic personnel stay absolut outstand i check quit earli problem effici check my room somewhat heavi scent air freshen onli neg entir stay manag reason well open window i n't gener requir much hotel stay suffic say doorman housekeep night manag bartend day waiter concierg amaz i never wait second anyth the room comfi amen superior one tini complaint wastebasket near sink near wet bar walk end bathroom sit room dispos kleenex/coffe paraphernalia one wastebasket would make differ all said great hotel thank omni i great stay
6,1,we stay conrad night thanksgiv we corner room overlook n michigan av tribun build to say star hotel damn place faint prais wonder the staff unbeliev help the standard room superb hd plasma screen luxuri bedlinen ipod radio huge bathroom locat unbeat right heart everyth watch whole light festiv parad window breakfast excel help buffet full attent tabl servic would hesit recommend stay hotel
7,1,just got back day chicago shop girlfriend first time i stay omni i i saw 129.00 rate includ 25.00 free food travelzoo the three u year old stay one suit doubl bed veri comfort pull sofa we plenti room food restaur great servic outstand everon came contact earli morn deliveri free coffe juic hot chocol fabul recommend staff eat time movi shop area etc realli help need i mention outstand locat simpli best we decid omni new favorit hotel
8,1,we arriv omni 2nd septemb day stay i took ill i left plane travel manchest i saw room i anticip i could n't go day the room spaciou clean the bed extrem comfort the bathroom larg clean what could ask we coffe juic left outsid door everi morn time request i manag go 5th floor see sun terrac outsid gym have sun terrac citi hotel great idea terrac bit grim a sunb concret floor there also nois air condit unit it could bit cheer what i saw chicago pleas someth everyon would i go back omni ye i would
9,1,on visit chicago chose hyatt due locat downtown within walk distanc major attract sear tower magnific mile grant/millenium park etc subway bu stop close travel locat citi overal hotel nice clean great locat wa safe area went beauti wrigley field soldier field saw team play i love chicago would defenit stay
